longitude,latitude,Location,Cult,Image
-66.10571764,18.46633527,"San Juan, PR",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-71.41282999,41.82399057,"Providence, RI",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.65012955,34.50344248,"Anderson, SC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.6667675,32.90517152,"Walterboro, SC",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-85.30967776,35.04563198,"Chattanooga, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.35945035,36.52977203,"Clarksville, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-85.02689871,35.94896021,"Crossville, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-83.92073433,35.96064306,"Knoxville, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-90.04897763,35.14953823,"Memphis, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-86.78333071,36.16666905,"Nashville, TN",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-99.7331401,32.44873737,"Abilene, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-101.8312957,35.22199845,"Amarillo, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-97.74305646,30.26715717,"Austin, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-94.12655134,30.08017699,"Beaumont, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-97.39637848,27.80058328,"Corpus Christi, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-96.80044776,32.7801422,"Dallas, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-95.20411026,32.58847417,"Hawkins, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-95.36938625,29.760193,"Houston, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-94.72909276,31.33824438,"Lufkin, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-102.0779131,31.99734916,"Midland, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
-98.49362584,29.42412646,"San Antonio, TX",Living Church of God,http://silenced.co/wp-content/uploads/2011/05/living.jpg
