X,Y,Location,Cult,Image
-82.64328,27.77986,"St. Petersburg, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-82.453766,27.950739,"Tampa, FL",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.950714,32.540878,"Gladewater, TX",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.503906,40.018692,"Bedford, PA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.85984,39.205654,"Columbia, MD",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-77.571381,40.599239,"Lewistown, PA",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-81.041336,34.012829,"Columbia, SC",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-79.772415,34.198742,"Florence, SC",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-84.487267,39.135654,"Cincinnati East, OH",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.211884,36.376789,"Bentonville, AR",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.400368,35.390728,"Fort Smith, AR",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-94.239861,34.587219,"Mena, AR",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-87.590561,37.838665,"Henderson, KY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-84.500656,38.046471,"Lexington, KY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-85.742798,38.253281,"Louisville, KY",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-77.365723,25.055744,"Nassau, Bahamas",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-78.696587,26.528473,"Freeport, Bahamas",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-0.164795,51.631657,UK,COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-62.267761,-38.712036,"Bahia Blanca, Argentina",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-58.371735,-34.611736,"Buenos Aires, Argentina",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-65.978394,-26.078987,"Cafayate, Argentina",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-58.55172,-34.796326,"Ezeiza, Argentina",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-68.065811,-38.94928,"Neuquén, Argentina",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-68.146248,-16.49901,"La Paz, Bolivia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-63.197418,-17.78879,"Santa Cruz de la Sierra, Bolivia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-63.549999,-3.35,"Maloca, Brazil",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-43.209587,-22.90354,"Rio de Janeiro, Brazil",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.029259,-36.814816,"Concepción, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.959351,-36.422092,"San Carlos, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-70.566467,-33.425362,"Santiago, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-71.656517,-35.422714,"Talca, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-72.598946,-38.727032,"Temuco, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.251244,-39.827431,"Valdivia, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.12606,-40.574478,"Osorno, Chile",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-74.075836,4.598056,"Bogota, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-73.120468,7.11331,"Bucaramanga, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
-76.522224,3.420556,"Cali, Columbia",COGWA,http://silenced.co/wp-content/uploads/2012/03/cogwa-150x150.png
