X	Y	Location	Cult	Image
-95.30105964	32.3512632	"TX, Tyler"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-97.14666635	31.54933509	"TX, Waco"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-111.8910427	40.76078271	"UT, Salt Lake City"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.39501845	36.5859728	"VA, Danville"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-77.43604552	37.54072792	"VA, Richmond"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.94142557	37.27097074	"VA, Roanoke"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-122.9006907	47.03787454	"WA, Olympia"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-120.5058975	46.60207473	"WA, Yakima"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-80.85621566	39.09564408	"WV, Auburn"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
150.9133856	-34.33385865	"AU, Bulli, NSW"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
153.4256996	-28.01725704	"AU, Gold Coast"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
149.124228	-35.30823522	"AU, Canberra"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
151.7431649	-32.76209662	"AU, Raymond Terrace, NSW"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
151.2069917	-33.86748344	"AU, Sydney"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-114.0580976	51.04532618	"AB, Calgary"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-123.9400608	49.16588454	"BC, Nanaimo"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-66.06330567	45.27331598	"NB, St. John"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-75.72757669	45.37600447	"ON, Kingston/Ottawa"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.00999744	46.49000218	"ON, Sudbury"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-78.31974239	44.30906191	"ON, Peterborough"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-81.2431754	42.98695173	"ON, London"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-79.38318076	43.65322806	"ON, Toronto"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
10.75224595	59.91386912	"NO, Oslo"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-0.119819717	51.51121501	"UK, London"	Intercontinental Church of God	http://silenced.co/wp-content/uploads/2012/03/intcog.png
-82.997673	38.731743	"Portsmouth, OH"	Independent Church of God	http://silenced.co/wp-content/uploads/2011/04/icog.png
-118.2436827	34.05223767	"Los Angeles, CA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-116.5452909	33.83030028	"Palm Springs, CA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-122.3916733	40.58654443	"Redding, CA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-121.494396	38.58157194	"Sacramento, CA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-117.1572516	32.71532931	"San Diego, CA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.8213625	38.8338835	"Colorado Springs, CO"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-104.984716	39.73757189	"Denver, CO"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-107.9131298	40.03747576	"Meeker, CO"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-77.03636527	38.8951163	"Washington, DC"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-80.14337394	26.12231258	"Ft Lauderdale, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-81.65564759	30.33218757	"Jacksonville, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.63928928	30.18967865	"Lake City, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.14008852	29.18719991	"Ocala, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-87.21691261	30.42131283	"Pensacola, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-82.45717411	27.95057531	"Tampa, FL"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
-84.38797817	33.74899972	"Atlanta, GA"	Living Church of God	http://silenced.co/wp-content/uploads/2011/05/living.jpg
